model_size,corpus_type,level,seed,bin,n_facts,frac_stored
M,CURATED,x30,2,3-4,564,0.0015289090203900709
M,CURATED,x30,2,5-8,15903,0.0012650085921288435
M,CURATED,x30,2,9-16,185894,0.003801175522912251
M,CURATED,x30,2,17-32,607853,0.02360208535397847
M,CURATED,x30,2,33-64,188015,0.06376139084855265
M,CURATED,x30,2,65-128,1391,0.037857944206056794
M,CURATED,x30,2,129-256,353,0.030917332462818695
M,CURATED,x30,2,>=257,0,
M,FLAT,100,1,1,196653,0.0007321984087294626
M,FLAT,100,1,2,151887,0.0022182162587359353
M,FLAT,100,1,3-4,166548,0.007579429757112064
M,FLAT,100,1,5-8,121716,0.031411516807054944
M,FLAT,100,1,9-16,78589,0.15925655285627602
M,FLAT,100,1,17-32,50501,0.5718633423951383
M,FLAT,100,1,33-64,31850,0.9444968326874019
M,FLAT,100,1,65-128,51030,0.998540887789658
M,FLAT,100,1,129-256,2522,0.999359348669211
M,FLAT,100,1,>=257,20,0.999755859375
M,FLAT,100,2,1,195468,0.0007688129019200074
M,FLAT,100,2,2,152906,0.0020383074149722706
M,FLAT,100,2,3-4,166010,0.0072554075949867475
M,FLAT,100,2,5-8,121247,0.030907145592390946
M,FLAT,100,2,9-16,78778,0.15251424369549557
M,FLAT,100,2,17-32,50345,0.5666641918807106
M,FLAT,100,2,33-64,31995,0.9430907554525121
M,FLAT,100,2,65-128,50897,0.998498417875501
M,FLAT,100,2,129-256,2587,0.9985962149992752
M,FLAT,100,2,>=257,26,0.999755859375
M,FLAT,1000,1,1,239128,0.0013115115780042489
M,FLAT,1000,1,2,105420,0.003607120995185923
M,FLAT,1000,1,3-4,83968,0.011819979039634146
M,FLAT,1000,1,5-8,55515,0.04622978534095515
M,FLAT,1000,1,9-16,36345,0.1956837724304409
M,FLAT,1000,1,17-32,23019,0.601563062120558
M,FLAT,1000,1,33-64,14670,0.9081403174527096
M,FLAT,1000,1,65-128,9285,0.973476914840805
M,FLAT,1000,1,129-256,5838,0.9941032386144656
M,FLAT,1000,1,>=257,8955,0.9996441899165969
M,FLAT,1000,2,1,238387,0.0010520709972780605
M,FLAT,1000,2,2,105378,0.003418863038003663
M,FLAT,1000,2,3-4,83405,0.010498620600346202
M,FLAT,1000,2,5-8,55678,0.04014883326055623
M,FLAT,1000,2,9-16,36375,0.18955654666022337
M,FLAT,1000,2,17-32,23040,0.596630859375
M,FLAT,1000,2,33-64,14614,0.9143582953952546
M,FLAT,1000,2,65-128,9296,0.9789942414748278
M,FLAT,1000,2,129-256,5835,0.9951286100176735
M,FLAT,1000,2,>=257,8964,0.999755859375
M,FLAT,30,1,1,80780,0.0004862381816353058
M,FLAT,30,1,2,109432,0.001053468849376782
M,FLAT,30,1,3-4,199887,0.0030427164492469495
M,FLAT,30,1,5-8,202921,0.012386390468381168
M,FLAT,30,1,9-16,138183,0.06273032077763274
M,FLAT,30,1,17-32,173628,0.3592140112859821
M,FLAT,30,1,33-64,61541,0.6329272410555057
M,FLAT,30,1,65-128,1405,0.5570512330404804
M,FLAT,30,1,129-256,357,0.5739855512517507
M,FLAT,30,1,>=257,0,
M,FLAT,30,2,1,80808,0.0003746099937506187
M,FLAT,30,2,2,109278,0.0010735994507700543
M,FLAT,30,2,3-4,199878,0.0033580567153776303
M,FLAT,30,2,5-8,202884,0.012196465829920053
M,FLAT,30,2,9-16,137802,0.06484925424590172
M,FLAT,30,2,17-32,173703,0.3684483977882686
M,FLAT,30,2,33-64,61693,0.6400716164300954
