corpus,seed,docs,i_eff,bits_stored,facts_stored
Z10_n0,3,5897216,40860.0,4982.0244140625,415.168701171875
Z10_n0,3,10000000,53256.0,5158.998046875,429.91650390625
Z10_n64,1,29952,2940.0,323.2822265625,26.940185546875
Z10_n64,1,50816,3672.0,419.103515625,34.92529296875
Z10_n64,1,86272,4980.0,718.7841796875,59.898681640625
Z10_n64,1,146304,6396.0,1042.4384765625,86.869873046875
Z10_n64,1,248064,8016.0,1318.04296875,109.8369140625
Z10_n64,1,420608,10668.0,1773.3955078125,147.782958984375
Z10_n64,1,713216,13968.0,2048.58984375,170.7158203125
Z10_n64,1,1209472,18012.0,2659.6025390625,221.633544921875
Z10_n64,1,2050944,23460.0,3282.2724609375,273.522705078125
Z10_n64,1,3477760,31116.0,3760.4033203125,313.366943359375
Z10_n64,1,5897216,40176.0,4178.19140625,348.1826171875
Z10_n64,1,10000000,52416.0,4415.203125,367.93359375
Z10_n64,2,29952,2916.0,323.2880859375,26.940673828125
Z10_n64,2,50816,3768.0,539.080078125,44.92333984375
Z10_n64,2,86272,4860.0,718.8134765625,59.901123046875
Z10_n64,2,146304,6168.0,1090.494140625,90.87451171875
Z10_n64,2,248064,8064.0,1342.03125,111.8359375
Z10_n64,2,420608,10764.0,1845.3720703125,153.781005859375
Z10_n64,2,713216,14088.0,2288.560546875,190.71337890625
Z10_n64,2,1209472,18168.0,2695.564453125,224.63037109375
Z10_n64,2,2050944,23424.0,3210.28125,267.5234375
Z10_n64,2,3477760,30792.0,3844.482421875,320.37353515625
Z10_n64,2,5897216,40260.0,4502.1708984375,375.180908203125
Z10_n64,2,10000000,52860.0,4511.0947265625,375.924560546875
Z10_n64,3,29952,2928.0,287.28515625,23.9404296875
Z10_n64,3,50816,3936.0,443.0390625,36.919921875
Z10_n64,3,86272,4968.0,706.787109375,58.89892578125
Z10_n64,3,146304,6444.0,1018.4267578125,84.868896484375
Z10_n64,3,248064,8256.0,1377.984375,114.83203125
Z10_n64,3,420608,10716.0,1749.3837890625,145.781982421875
Z10_n64,3,713216,14040.0,2120.572265625,176.71435546875
Z10_n64,3,1209472,18168.0,2623.564453125,218.63037109375
Z10_n64,3,2050944,23976.0,3210.146484375,267.51220703125
Z10_n64,3,3477760,30624.0,3808.5234375,317.376953125
Z10_n64,3,5897216,39876.0,4334.2646484375,361.188720703125
Z10_n64,3,10000000,52320.0,4547.2265625,378.935546875
